"","Team","OPassStrength","ORushStrength","OffStrength","DPassStrength","DRushStrength","DefStrength","Net_Pass","Net_Rush","Net_Total","Week","Home","Win","Confidence","Opponent"
"1","Cincinnati Bengals",67.4817898022893,31.0932798395186,46.5894140884184,49.2845786963434,36.3288718929254,43.4677812173441,29.1670044286804,31.0932798395186,78.9757837179968,4,FALSE,FALSE,65.6800380533381,"Miami Dolphins"
"2","Miami Dolphins",62.1227887617066,32.0962888665998,48.1578998429653,38.3147853736089,0,27.8739146386205,12.8382100653631,-4.23258302632564,13.2957456646587,4,TRUE,TRUE,65.6800380533381,"Cincinnati Bengals"
"3","Indianapolis Colts",63.3194588969823,35.1053159478435,58.4459226442061,18.1770005299417,49.3307839388145,27.1754954795866,-9.97147909983806,-0.841146767261634,-3.68852741334899,4,FALSE,TRUE,8.35655662405431,"Indianapolis Colts"
"4","Jacksonville Jaguars",51.5088449531738,4.01203610832498,27.1173148494408,73.2909379968204,35.9464627151052,51.3218241904554,33.3318444232321,-45.3187478304896,-12.0450840374033,4,TRUE,FALSE,8.35655662405431,"Jacksonville Jaguars"
"5","Atlanta Falcons",100,44.6339017051154,84.3620682406501,26.4970853206147,23.7093690248566,23.8362987493964,16.7991520932697,-9.8594061342728,23.8995890704537,4,FALSE,TRUE,106.918568433735,"Carolina Panthers"
"6","Carolina Panthers",41.6233090530697,95.2858575727182,67.9517439732685,83.2008479067303,54.4933078393882,67.4022251291934,15.126223732455,71.5764885478616,130.818157504189,4,TRUE,FALSE,106.918568433735,"Atlanta Falcons"
"7","Chicago Bears",40.2705515088449,19.0571715145436,22.7017460906581,66.6136724960254,4.3977055449331,37.0069330050529,0.153964333434246,-12.1091764778082,-23.2841377984762,4,FALSE,TRUE,114.627176930214,"Detroit Lions"
"8","Detroit Lions",77.7315296566077,50.1504513540622,71.4793691670798,40.1165871754107,31.1663479923518,34.0306717447604,11.1178571605823,45.7527458091291,91.3430391317382,4,TRUE,FALSE,114.627176930214,"Chicago Bears"
"9","Buffalo Bills",0,68.9067201604815,34.4428054101981,29.1467938526762,47.131931166348,40.5045693850713,-36.4069952305246,14.4134123210933,-41.8635902038876,4,FALSE,FALSE,119.72449796749,"Buffalo Bills"
"10","New England Patriots",28.8241415192508,100,65.820060648447,36.4069952305246,54.4933078393882,54.3128127046543,-0.322652333425442,52.868068833652,77.8609077636022,4,TRUE,TRUE,119.72449796749,"New England Patriots"
"11","New York Jets",44.4328824141519,79.9398194583751,56.6037316261291,29.6767355590885,72.2753346080306,46.6067502653443,-49.5257821327479,22.9608519631552,-54.3555255823336,4,FALSE,TRUE,48.1682857296763,"Seattle Seahawks"
"12","Seattle Seahawks",48.5952133194589,51.1534603811434,42.6229068792037,93.9586645468999,56.9789674952199,84.39432703887,18.9184777603704,-21.1218742268872,-6.18723985265732,4,TRUE,FALSE,48.1682857296763,"New York Jets"
"13","Cleveland Browns",31.4255983350676,93.9819458375125,51.3600905581723,24.2183359830419,36.3288718929254,28.9144509925425,11.1288309794767,70.7505882849313,113.638719682646,4,FALSE,TRUE,31.1722337064735,"Cleveland Browns"
"14","Washington Redskins",87.0967741935484,24.7743229689067,60.0570476822267,20.2967673555909,23.2313575525813,19.6007901399348,62.8784382105065,-11.5545489240187,82.466485976172,4,TRUE,FALSE,31.1722337064735,"Washington Redskins"
"15","Baltimore Ravens",40.9469302809573,31.3941825476429,33.7487468089799,90.990990990991,58.604206500956,81.1865025869195,40.9469302809573,20.5911232742204,85.0961570032918,4,FALSE,FALSE,70.9611040644645,"Oakland Raiders"
"16","Oakland Raiders",64.7242455775234,97.592778335005,82.5997291051654,0,10.8030592734226,10.1906433608658,-26.2667454134676,38.988571834049,14.1350529388273,4,TRUE,TRUE,70.9611040644645,"Baltimore Ravens"
